Name,ID,Tecs Used by Group,Associated Groups
Inception,G0100,"['T1071', 'T1547', 'T1059', 'T1555', 'T1005', 'T1573', 'T1203', 'T1083', 'T1027', 'T1069', 'T1566', 'T1057', 'T1090', 'T1218', 'T1518', 'T1082', 'T1221', 'T1204', 'T1102']","Inception Framework, Cloud Atlas"
Ke3chang,G0004,"['T1087', 'T1071', 'T1560', 'T1547', 'T1059', 'T1543', 'T1213', 'T1005', 'T1114', 'T1041', 'T1133', 'T1083', 'T1056', 'T1036', 'T1003', 'T1069', 'T1057', 'T1021', 'T1018', 'T1558', 'T1082', 'T1016', 'T1049', 'T1007', 'T1569']","APT15, Mirage, Vixen Panda, GREF, Playful Dragon, RoyalAPT"
Kimsuky,G0094,"['T1560', 'T1547', 'T1176', 'T1059', 'T1543', 'T1555', 'T1005', 'T1546', 'T1041', 'T1083', 'T1562', 'T1070', 'T1056', 'T1566', 'T1055', 'T1219', 'T1218', 'T1082']",Velvet Chollima
Lazarus Group,G0032,"['T1134', 'T1098', 'T1071', 'T1010', 'T1560', 'T1547', 'T1110', 'T1059', 'T1543', 'T1485', 'T1132', 'T1005', 'T1001', 'T1074', 'T1491', 'T1561', 'T1189', 'T1573', 'T1048', 'T1041', 'T1203', 'T1008', 'T1083', 'T1564', 'T1562', 'T1070', 'T1105', 'T1056', 'T1036', 'T1112', 'T1571', 'T1027', 'T1003', 'T1566', 'T1542', 'T1057', 'T1055', 'T1090', 'T1012', 'T1021', 'T1496', 'T1489', 'T1218', 'T1082', 'T1016', 'T1033', 'T1529', 'T1124', 'T1204', 'T1047']","HIDDEN COBRA, Guardians of Peace, ZINC, NICKEL ACADEMY"
Leafminer,G0077,"['T1110', 'T1059', 'T1136', 'T1555', 'T1189', 'T1114', 'T1083', 'T1046', 'T1027', 'T1003', 'T1055', 'T1018', 'T1552']",Raspite
Leviathan,G0065,"['T1197', 'T1547', 'T1059', 'T1074', 'T1140', 'T1546', 'T1567', 'T1203', 'T1105', 'T1027', 'T1003', 'T1566', 'T1021', 'T1505', 'T1218', 'T1553', 'T1204', 'T1078', 'T1102', 'T1047']","TEMP.Jumper, APT40, TEMP.Periscope"
Lotus Blossom,G0030,[],"DRAGONFISH, Spring Dragon"
Machete,G0095,"['T1071', 'T1547', 'T1059', 'T1025', 'T1074', 'T1568', 'T1027', 'T1566', 'T1053', 'T1204']",El Machete
Magic Hound,G0059,"['T1098', 'T1071', 'T1560', 'T1547', 'T1059', 'T1555', 'T1114', 'T1083', 'T1564', 'T1070', 'T1105', 'T1056', 'T1571', 'T1027', 'T1003', 'T1566', 'T1057', 'T1113', 'T1082', 'T1016', 'T1033', 'T1204', 'T1102']","Cobalt Gypsy, Operation Woolen-Goldfish, Ajax Security Team, Operation Saffron Rose, Rocket Kitten, Phosphorus, Newscaster, APT35"
menuPass,G0045,"['T1087', 'T1560', 'T1059', 'T1005', 'T1039', 'T1074', 'T1140', 'T1574', 'T1070', 'T1105', 'T1056', 'T1036', 'T1046', 'T1027', 'T1003', 'T1566', 'T1055', 'T1090', 'T1021', 'T1018', 'T1053', 'T1218', 'T1016', 'T1049', 'T1199', 'T1204', 'T1078', 'T1047']","Stone Panda, APT10, Red Apollo, CVNX, HOGFISH"
Moafee,G0002,['T1027'],
Mofang,G0103,"['T1027', 'T1566', 'T1204']",
Molerats,G0021,"['T1547', 'T1059', 'T1555', 'T1140', 'T1105', 'T1027', 'T1566', 'T1057', 'T1553', 'T1204']","Operation Molerats, Gaza Cybergang"
MuddyWater,G0069,"['T1548', 'T1071', 'T1560', 'T1547', 'T1059', 'T1555', 'T1132', 'T1140', 'T1041', 'T1203', 'T1083', 'T1105', 'T1559', 'T1036', 'T1104', 'T1027', 'T1137', 'T1003', 'T1566', 'T1057', 'T1090', 'T1053', 'T1113', 'T1218', 'T1518', 'T1082', 'T1016', 'T1033', 'T1552', 'T1204', 'T1047']","Seedworm, TEMP.Zagros"
Naikon,G0019,"['T1574', 'T1137', 'T1566', 'T1518', 'T1016', 'T1204']",
NEODYMIUM,G0055,[],
Night Dragon,G0014,"['T1071', 'T1074', 'T1587', 'T1190', 'T1133', 'T1562', 'T1027', 'T1003', 'T1566', 'T1219', 'T1550', 'T1204', 'T1078']",
OilRig,G0049,"['T1087', 'T1071', 'T1119', 'T1110', 'T1059', 'T1555', 'T1140', 'T1573', 'T1048', 'T1133', 'T1008', 'T1070', 'T1105', 'T1056', 'T1046', 'T1027', 'T1137', 'T1003', 'T1201', 'T1069', 'T1566', 'T1057', 'T1572', 'T1012', 'T1021', 'T1053', 'T1113', 'T1505', 'T1218', 'T1082', 'T1016', 'T1049', 'T1033', 'T1007', 'T1552', 'T1204', 'T1078', 'T1047']","IRN2, HELIX KITTEN, APT34"
Orangeworm,G0071,"['T1071', 'T1021']",
Patchwork,G0040,"['T1548', 'T1560', 'T1119', 'T1197', 'T1547', 'T1059', 'T1555', 'T1132', 'T1005', 'T1074', 'T1587', 'T1189', 'T1203', 'T1083', 'T1574', 'T1070', 'T1105', 'T1559', 'T1036', 'T1112', 'T1027', 'T1566', 'T1055', 'T1021', 'T1053', 'T1518', 'T1553', 'T1082', 'T1033', 'T1204', 'T1102']","Hangover Group, Dropping Elephant, Chinastrats, MONSOON, Operation Hangover"
PittyTiger,G0011,['T1078'],
PLATINUM,G0068,"['T1189', 'T1068', 'T1105', 'T1056', 'T1036', 'T1095', 'T1003', 'T1566', 'T1055', 'T1204']",
Poseidon Group,G0033,"['T1087', 'T1059', 'T1036', 'T1003', 'T1057', 'T1049', 'T1007']",
PROMETHIUM,G0056,"['T1547', 'T1543', 'T1587', 'T1189', 'T1036', 'T1553', 'T1205', 'T1204', 'T1078']",StrongPity
Putter Panda,G0024,"['T1547', 'T1562', 'T1027', 'T1055']","APT2, MSUpdater"
